Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
2,10,52,0.06,0.72,-0.14,1.537766648360764
206,12,106,0.06,0.73,-0.22,1.5369399040830498
98,11,73,0.06,0.74,-0.14,1.533484888735932
108,11,83,0.06,0.74,-0.17,1.5318062223224898
352,14,102,0.06,0.71,-0.17,1.5311225179496266
197,12,97,0.06,0.73,-0.16,1.5304034942327651
356,14,106,0.06,0.71,-0.2,1.5294351479760393
109,11,84,0.06,0.73,-0.18,1.528709688504216
102,11,77,0.06,0.73,-0.16,1.5286597162762061
277,13,102,0.06,0.72,-0.19,1.5259657237630906
279,13,104,0.06,0.71,-0.19,1.5252704564291697
204,12,104,0.06,0.72,-0.21,1.5251407869184819
201,12,101,0.06,0.72,-0.2,1.5250430324951134
126,11,101,0.06,0.72,-0.2,1.5247635781107427
48,10,98,0.06,0.73,-0.18,1.5247255802262472
101,11,76,0.06,0.73,-0.14,1.524534325700771
362,14,112,0.06,0.71,-0.2,1.524319295456786
285,13,110,0.06,0.71,-0.2,1.5232628068504646
361,14,111,0.06,0.71,-0.2,1.522387104364913
363,14,113,0.06,0.71,-0.2,1.5222497674105846
1860,34,110,0.06,0.63,-0.26,1.5221014713285543
114,11,89,0.06,0.72,-0.16,1.5193675931898951
360,14,110,0.06,0.7,-0.2,1.5187101890015844
280,13,105,0.06,0.7,-0.2,1.5186241164321113
129,11,104,0.06,0.71,-0.19,1.515464559549022
128,11,103,0.06,0.71,-0.19,1.515464559549022
113,11,88,0.06,0.72,-0.16,1.5137380033169647
351,14,101,0.06,0.69,-0.17,1.5112786849602315
355,14,105,0.06,0.69,-0.2,1.5100186413115577
284,13,109,0.06,0.69,-0.21,1.5094272881602884
364,14,114,0.06,0.69,-0.2,1.509041371093389
359,14,109,0.06,0.69,-0.2,1.5076541619289783
110,11,85,0.06,0.71,-0.18,1.5066267038679084
299,13,124,0.06,0.69,-0.2,1.505905993191255
127,11,102,0.06,0.7,-0.2,1.5046065243717723
283,13,108,0.06,0.69,-0.21,1.5037319169934587
97,11,72,0.06,0.71,-0.14,1.5032313853360653
49,10,99,0.06,0.71,-0.19,1.5022630875366907
111,11,86,0.06,0.7,-0.18,1.500283825300592
278,13,103,0.06,0.68,-0.19,1.5001056578406553
716,19,91,0.06,0.66,-0.21,1.4970250925122897
115,11,90,0.06,0.7,-0.16,1.4951683393213109
248,13,73,0.05,0.67,-0.19,1.4946599877117028
202,12,102,0.06,0.68,-0.2,1.4943120510628634
297,13,122,0.06,0.68,-0.2,1.4931380139970079
718,19,93,0.06,0.65,-0.19,1.4926599864616328
366,14,116,0.06,0.68,-0.21,1.492533323027103
715,19,90,0.05,0.65,-0.21,1.4925246420959106
367,14,117,0.06,0.68,-0.21,1.4921249831418657
171,12,71,0.05,0.67,-0.18,1.4916851485167246
1906,35,81,0.05,0.6,-0.22,1.491492105117993
1859,34,109,0.05,0.6,-0.26,1.4903062985002196
112,11,87,0.05,0.69,-0.17,1.4879227069677954
119,11,94,0.06,0.69,-0.18,1.487791674184181
181,12,81,0.05,0.67,-0.19,1.4871094526948527
122,11,97,0.06,0.68,-0.18,1.4867559987912353
298,13,123,0.06,0.67,-0.2,1.4866562549503115
100,11,75,0.05,0.69,-0.15,1.4851922846462897
507,16,107,0.06,0.66,-0.19,1.4850995507640574
203,12,103,0.06,0.67,-0.21,1.48487322360011
118,11,93,0.05,0.68,-0.18,1.4844936664822193
365,14,115,0.06,0.67,-0.21,1.4836645466360565
