Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
74,10,124,0.07,0.85,-0.18,1.655077229065878
72,10,122,0.07,0.83,-0.18,1.6312376069166656
73,10,123,0.07,0.83,-0.18,1.6312376069166654
147,11,122,0.07,0.82,-0.18,1.6276943522115976
149,11,124,0.07,0.82,-0.19,1.6224004284008877
290,13,115,0.07,0.81,-0.18,1.621382222950824
289,13,114,0.07,0.81,-0.18,1.621382222950824
148,11,123,0.07,0.81,-0.19,1.6142661926812496
71,10,121,0.07,0.81,-0.18,1.613846047780586
139,11,114,0.07,0.81,-0.18,1.6134381240007913
140,11,115,0.07,0.81,-0.18,1.6127361256646602
275,13,100,0.07,0.8,-0.16,1.6054385401664235
146,11,121,0.07,0.8,-0.19,1.6037149076731516
135,11,110,0.07,0.8,-0.19,1.5990921976377928
142,11,117,0.07,0.8,-0.19,1.5980320096380236
136,11,111,0.07,0.8,-0.19,1.595502719830288
55,10,105,0.07,0.81,-0.19,1.59521917466839
141,11,116,0.07,0.79,-0.19,1.5951840893444333
138,11,113,0.07,0.79,-0.19,1.5942835300397276
137,11,112,0.07,0.79,-0.19,1.5938657682166033
288,13,113,0.07,0.78,-0.19,1.5938269978334711
1,10,51,0.06,0.77,-0.13,1.5912055869385837
143,11,118,0.07,0.79,-0.2,1.5908091293076143
70,10,120,0.07,0.8,-0.18,1.587366622596061
69,10,119,0.07,0.8,-0.18,1.587366622596061
52,10,102,0.07,0.8,-0.19,1.5859943399724876
274,13,99,0.07,0.78,-0.17,1.585611618217048
144,11,119,0.07,0.78,-0.19,1.5844584786709184
145,11,120,0.07,0.78,-0.19,1.5844584786709184
292,13,117,0.07,0.77,-0.18,1.5839223279406367
134,11,109,0.07,0.78,-0.19,1.5804432741927108
291,13,116,0.07,0.77,-0.18,1.5794625774536526
54,10,104,0.07,0.79,-0.19,1.5792804446868933
220,12,120,0.07,0.76,-0.18,1.576956198083904
63,10,113,0.07,0.78,-0.19,1.5750536162746172
198,12,98,0.06,0.77,-0.15,1.574212289723357
214,12,114,0.07,0.76,-0.19,1.5736544310804887
210,12,110,0.06,0.77,-0.21,1.5733960840268928
66,10,116,0.07,0.78,-0.2,1.571971180650793
103,11,78,0.06,0.77,-0.16,1.5674088998881404
51,10,101,0.06,0.78,-0.19,1.5663049129319317
221,12,121,0.06,0.75,-0.18,1.5653683773699774
222,12,122,0.06,0.75,-0.18,1.5653683773699774
174,12,74,0.06,0.76,-0.13,1.565246686770199
273,13,98,0.06,0.76,-0.17,1.5635736346130156
105,11,80,0.06,0.77,-0.14,1.5629958359133607
68,10,118,0.06,0.77,-0.2,1.5623052494661036
65,10,115,0.06,0.77,-0.2,1.5607092907216722
53,10,103,0.06,0.77,-0.18,1.5583738680281622
132,11,107,0.06,0.76,-0.19,1.5582271333609963
133,11,108,0.06,0.76,-0.19,1.5582271333609963
213,12,113,0.06,0.75,-0.19,1.5573059127905422
67,10,117,0.06,0.76,-0.2,1.5560693983224252
62,10,112,0.06,0.76,-0.19,1.5556244238605397
217,12,117,0.06,0.74,-0.19,1.554211077599012
