Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
74,10,124,0.1,0.82,-0.18,1.619843453181871
73,10,123,0.1,0.79,-0.18,1.5965113359932814
72,10,122,0.1,0.79,-0.18,1.5965113359932812
147,11,122,0.1,0.79,-0.18,1.5930435111473076
149,11,124,0.1,0.78,-0.19,1.5878622859598508
289,13,114,0.1,0.78,-0.18,1.5868657563699835
290,13,115,0.1,0.78,-0.18,1.5868657563699833
1,10,51,0.09,0.76,-0.13,1.580061510476555
148,11,123,0.1,0.78,-0.19,1.5799012142674256
71,10,121,0.1,0.78,-0.18,1.57949001353626
139,11,114,0.1,0.78,-0.18,1.5790907737591104
140,11,115,0.1,0.78,-0.18,1.5784037197721683
275,13,100,0.09,0.77,-0.16,1.5712614874426079
146,11,121,0.1,0.77,-0.19,1.5695745481500567
135,11,110,0.09,0.77,-0.19,1.56505024773964
142,11,117,0.09,0.76,-0.19,1.5640126293370609
136,11,111,0.09,0.76,-0.19,1.5615371838023697
55,10,105,0.09,0.77,-0.19,1.561259674834138
141,11,116,0.09,0.76,-0.19,1.561225336416984
138,11,113,0.09,0.76,-0.19,1.5603439484863717
137,11,112,0.09,0.76,-0.19,1.5599350801010827
288,13,113,0.09,0.75,-0.19,1.5598971350733877
143,11,118,0.09,0.76,-0.2,1.5569435118295154
70,10,120,0.09,0.76,-0.18,1.5535742902238316
69,10,119,0.09,0.76,-0.18,1.5535742902238316
52,10,102,0.09,0.77,-0.19,1.5522312211605436
274,13,99,0.09,0.74,-0.17,1.5518566468995656
145,11,120,0.09,0.75,-0.19,1.550728055730767
144,11,119,0.09,0.75,-0.19,1.550728055730767
292,13,117,0.09,0.74,-0.18,1.550203318736557
134,11,109,0.09,0.75,-0.19,1.5467983281186712
291,13,116,0.09,0.73,-0.18,1.5458385087432231
54,10,104,0.09,0.75,-0.19,1.5456602532729264
220,12,120,0.09,0.73,-0.18,1.543385485922307
